89.0,1557.0
86.0,2924.0
128.0,237.0
89.0,2454.0
128.0,238.0
128.0,238.0
128.0,238.0
128.0,238.0
129.0,238.0
170.0,190.0
128.0,285.0
128.0,238.0
129.0,143.0
170.0,238.0
128.0,237.0
128.0,285.0
128.0,238.0
128.0,285.0
129.0,285.0
128.0,190.0
128.0,238.0
129.0,238.0
129.0,143.0
129.0,143.0
128.0,1934.0
128.0,143.0
128.0,237.0
128.0,143.0
170.0,237.0
170.0,143.0
128.0,285.0
130.0,238.0
128.0,284.0
129.0,238.0
128.0,285.0
128.0,237.0
170.0,237.0
128.0,238.0
128.0,285.0
128.0,238.0
133.0,238.0
133.0,237.0
128.0,285.0
128.0,2124.0
128.0,143.0
129.0,285.0
170.0,190.0
128.0,237.0
128.0,143.0
128.0,238.0
128.0,143.0
128.0,2359.0
129.0,237.0
170.0,237.0
170.0,237.0
128.0,238.0
129.0,379.0
129.0,238.0
128.0,238.0
128.0,285.0
128.0,238.0
128.0,238.0
171.0,237.0
128.0,143.0
129.0,238.0
170.0,190.0
129.0,379.0
128.0,943.0
128.0,285.0
128.0,238.0
129.0,237.0
128.0,2360.0
128.0,237.0
128.0,285.0
128.0,143.0
129.0,237.0
128.0,238.0
170.0,190.0
128.0,237.0
128.0,2924.0
128.0,241.0
170.0,238.0
129.0,1604.0
128.0,237.0
170.0,143.0
129.0,143.0
128.0,237.0
128.0,285.0
170.0,143.0
128.0,755.0
129.0,237.0
170.0,143.0
129.0,237.0
128.0,237.0
128.0,284.0
128.0,238.0
170.0,237.0
170.0,238.0
128.0,237.0
128.0,285.0
129.0,238.0
128.0,285.0
129.0,285.0
128.0,285.0
133.0,285.0
128.0,285.0
129.0,237.0
128.0,237.0
128.0,237.0
128.0,285.0
128.0,143.0
128.0,238.0
128.0,237.0
128.0,284.0
128.0,285.0
129.0,284.0
131.0,2594.0
128.0,2787.0
128.0,285.0
128.0,238.0
128.0,143.0
128.0,238.0
128.0,1134.0
128.0,285.0
129.0,285.0
128.0,284.0
128.0,237.0
129.0,143.0
170.0,190.0
128.0,285.0
128.0,332.0
170.0,238.0
129.0,2176.0
170.0,237.0
128.0,242.0
128.0,285.0
128.0,143.0
128.0,237.0
128.0,238.0
128.0,143.0
129.0,237.0
128.0,285.0
128.0,238.0
170.0,190.0
170.0,143.0
128.0,567.0
129.0,285.0
128.0,143.0
129.0,238.0
128.0,2313.0
129.0,285.0
128.0,285.0
128.0,238.0
128.0,237.0
129.0,237.0
128.0,238.0
128.0,238.0
170.0,190.0
129.0,238.0
171.0,237.0
128.0,284.0
128.0,289.0
128.0,190.0
128.0,849.0
128.0,285.0
128.0,143.0
128.0,237.0
170.0,238.0
128.0,285.0
128.0,237.0
170.0,237.0
128.0,238.0
128.0,238.0
128.0,238.0
128.0,143.0
128.0,237.0
128.0,143.0
128.0,237.0
128.0,237.0
170.0,238.0
128.0,1322.0
128.0,143.0
128.0,237.0
128.0,143.0
170.0,238.0
128.0,238.0
129.0,238.0
128.0,285.0
128.0,238.0
128.0,661.0
170.0,190.0
129.0,237.0
128.0,238.0
128.0,237.0
128.0,289.0
129.0,238.0
128.0,285.0
128.0,285.0
129.0,285.0
129.0,143.0
128.0,285.0
128.0,1463.0
128.0,284.0
128.0,237.0
128.0,143.0
129.0,237.0
128.0,237.0
129.0,285.0
128.0,237.0
170.0,237.0
128.0,238.0
128.0,1750.0
128.0,285.0
128.0,2124.0
131.0,2504.0
128.0,2082.0
128.0,237.0
128.0,1839.0
129.0,238.0
128.0,2274.0
128.0,285.0
128.0,238.0
129.0,285.0
128.0,238.0
128.0,238.0
128.0,2360.0
129.0,237.0
128.0,237.0
128.0,143.0
129.0,242.0
129.0,237.0
128.0,760.0
128.0,238.0
129.0,238.0
128.0,143.0
129.0,1651.0
128.0,237.0
129.0,143.0
171.0,238.0
170.0,237.0
128.0,143.0
128.0,237.0
175.0,143.0
128.0,237.0
128.0,237.0
129.0,285.0
129.0,238.0
170.0,238.0
128.0,190.0
129.0,237.0
128.0,379.0
128.0,284.0
129.0,238.0
128.0,237.0
131.0,520.0
128.0,237.0
170.0,238.0
129.0,238.0
128.0,237.0
128.0,238.0
128.0,237.0
128.0,285.0
128.0,237.0
171.0,238.0
128.0,332.0
128.0,238.0
128.0,238.0
131.0,1510.0
129.0,285.0
128.0,238.0
128.0,238.0
128.0,143.0
128.0,238.0
129.0,332.0
175.0,237.0
129.0,238.0
128.0,143.0
129.0,2642.0
128.0,143.0
128.0,237.0
128.0,143.0
128.0,331.0
128.0,2171.0
128.0,238.0
129.0,1369.0
170.0,238.0
128.0,284.0
128.0,238.0
128.0,143.0
128.0,237.0
128.0,238.0
128.0,237.0
